name,kBenderDco,kBenderVcf,kArpRate,kLfoRate,kLfoDelay,kDcoLfo,kDcoPwm,kDcoSub,kDcoNoise,kHpfFreq,kVcfFreq,kVcfRes,kVcfEnv,kVcfLfo,kVcfKbd,kVcaLevel,kEnvA,kEnvD,kEnvS,kEnvR,kTranspose,kHold,kArpeggio,kDcoPulse,kDcoSaw,kDcoSubSw,kChorusOff,kChorusI,kChorusII,kOctTranspose,kArpMode,kArpRange,kLfoMode,kPwmMode,kVcfEnvInv,kVcaMode,kBender,kTuning,kPower,kPortaMode,kPortaRate,kTransposeOffset,kBenderLfo,kAdsrMode
"A11 Brass",0.000000,0.000000,0.944882,0.157480,0.385827,0.000000,0.971429,0.000000,0.000000,[1],0.275591,0.102362,0.456693,0.000000,0.677165,0.850394,0.023622,0.385827,0.354331,0.251969,0.000000,[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A12 Brass Swell",0.000000,0.000000,0.944882,0.047244,0.377953,0.000000,0.533333,0.551181,0.000000,[0],0.338583,0.133858,0.204724,0.000000,0.661417,0.590551,0.503937,0.929134,0.299213,0.291339,0.000000,[0],[0],[0],[1],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A13 Trumpet",0.000000,0.000000,0.944882,0.409449,0.354331,0.062992,0.971429,0.000000,0.000000,[2],0.433071,0.267717,0.188976,0.007874,0.464567,1.000000,0.039370,0.519685,0.377953,0.125984,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A14 Flutes",0.000000,0.000000,0.944882,0.472441,0.338583,0.007874,0.000000,0.000000,0.000000,[3],0.433071,0.251969,0.078740,0.086614,0.322835,1.000000,0.181102,0.637795,0.000000,0.141732,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A15 Moving Strings",0.000000,0.000000,0.944882,0.496063,0.000000,0.000000,0.371429,0.110236,0.000000,[1],0.606299,0.157480,0.031496,0.000000,0.874016,0.267717,0.102362,0.685039,0.692913,0.275591,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A16 Brass & Strings",0.000000,0.000000,0.944882,0.275591,0.000000,0.000000,0.533333,0.181102,0.000000,[0],0.598425,0.133858,0.031496,0.000000,0.322835,0.614173,0.346457,0.519685,0.417323,0.346457,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A17 Choir",0.000000,0.000000,0.944882,0.464567,0.110236,0.102362,0.238095,0.000000,0.000000,[2],0.464567,0.740157,0.015748,0.000000,0.488189,1.000000,0.535433,0.086614,1.000000,0.377953,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A18 Piano I",0.000000,0.000000,0.944882,0.157480,0.385827,0.000000,0.761905,0.677165,0.000000,[1],0.511811,0.094488,0.078740,0.000000,0.212598,0.811024,0.000000,0.519685,0.000000,0.236220,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A21 Organ I",0.000000,0.000000,0.944882,0.425197,0.118110,0.000000,0.504762,0.181102,0.000000,[0],0.338583,0.598425,0.110236,0.007874,1.000000,0.787402,0.000000,0.078740,0.645669,0.000000,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A22 Organ II",0.000000,0.000000,0.944882,0.346457,0.118110,0.000000,0.504762,0.456693,0.000000,[0],0.417323,0.598425,0.110236,0.007874,0.669291,0.582677,0.000000,0.078740,0.645669,0.000000,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A23 Combo Organ",0.000000,0.000000,0.944882,0.590551,0.165354,0.070866,0.542857,0.480315,0.000000,[2],0.496063,0.551181,0.031496,0.000000,0.858268,0.755906,0.000000,0.377953,0.338583,0.362205,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A24 Calliope",0.000000,0.000000,0.944882,0.645669,0.314961,0.086614,0.000000,0.377953,0.000000,[2],0.685039,0.212598,0.133858,0.000000,0.440945,0.700787,0.055118,1.000000,1.000000,0.047244,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A25 Donald Pluck",0.000000,0.000000,0.944882,0.598425,0.165354,0.070866,0.542857,1.000000,0.000000,[3],0.574803,0.826772,0.118110,0.000000,0.614173,0.645669,0.015748,0.039370,0.338583,0.078740,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A26 Celeste",0.000000,0.000000,0.944882,0.220472,0.000000,0.000000,0.000000,0.118110,0.000000,[0],0.259843,0.188976,0.425197,0.000000,0.299213,0.755906,0.000000,0.346457,0.000000,0.637795,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A27 E Piano I",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,0.000000,0.000000,[3],0.125984,0.244094,0.480315,0.047244,0.275591,1.000000,0.007874,0.669291,0.338583,0.314961,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A28 E Piano II",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.676190,0.000000,0.000000,[1],0.393701,0.543307,0.055118,0.000000,0.629921,0.803150,0.000000,0.535433,0.000000,0.173228,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A31 Clock Chimes",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,1.000000,0.173228,[0],0.346457,1.000000,0.000000,0.000000,1.000000,0.818898,0.000000,0.377953,0.000000,0.401575,0.000000,[0],[0],[0],[0],[1],[0],[1],[0],[2],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
